name,faction,parent,branch,gen,no_hotkey
CONTROLBAR:SelectNearestBuilder,misc,,basic,0,FALSE
CONTROLBAR:CancelBuild,misc,,basic,0,FALSE
CONTROLBAR:SellBuilding,misc,,basic,0,FALSE
CONTROLBAR:SelectAllHeroes,misc,,basic,0,FALSE
CONTROLBAR:AttackMove,misc,,basic,0,FALSE
OBJECT:ShipWright,misc,,basic,0,FALSE
CONTROLBAR:ConstructMenFarmGranary,gondor,,basic,0,FALSE
CONTROLBAR:ConstructMenBlacksmith,gondor,,basic,0,FALSE
CONTROLBAR:PurchaseTechnologyGondorBasicTraining,gondor,CONTROLBAR:ConstructMenBlacksmith,basic,1,FALSE
CONTROLBAR:PurchaseTechnologyGondorForgedBlades,gondor,CONTROLBAR:ConstructMenBlacksmith,basic,1,FALSE
CONTROLBAR:PurchaseTechnologyGondorHeavyArmor,gondor,CONTROLBAR:ConstructMenBlacksmith,basic,1,FALSE
CONTROLBAR:ConstructMenBarracks,gondor,,basic,0,FALSE
CONTROLBAR:ConstructGondorLamedonFighterHorde,gondor,CONTROLBAR:ConstructMenBarracks,basic,1,FALSE
CONTROLBAR:GondorArmaments,gondor,CONTROLBAR:ConstructGondorLamedonFighterHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorForgedBlades,gondor,CONTROLBAR:ConstructGondorLamedonFighterHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,gondor,CONTROLBAR:ConstructGondorLamedonFighterHorde,basic,2,FALSE
CONTROLBAR:ConstructGondorLinhirPikeHorde,gondor,CONTROLBAR:ConstructMenBarracks,basic,1,FALSE
CONTROLBAR:TogglePorcupineFormation,gondor,CONTROLBAR:ConstructGondorLinhirPikeHorde,basic,2,FALSE
CONTROLBAR:ToggleLineFormation,gondor,CONTROLBAR:ConstructGondorLinhirPikeHorde,basic,2,FALSE
CONTROLBAR:GondorArmaments,gondor,CONTROLBAR:ConstructGondorLinhirPikeHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorForgedBlades,gondor,CONTROLBAR:ConstructGondorLinhirPikeHorde,basic,2,FALSE
